# Client Mod Manifest
# Generated: 2026-05-30T17:04:45Z
# Server: fedora
#
# Mod Name                       | Files | Size
# -------------------------------|-------|------
020_WeaponOverhaul               |     2 | 488K
025_TraitSystem                  |    24 | 10M
050_LootOverhaul                 |     3 | 20K
060_ProgressionOverhaul          |     3 | 120K
070_GamestageOverhaul            |     3 | 12K
0_TFP_Harmony                    |    14 | 2.2M
110_SpawningOverhaul             |     2 | 12K
115_InjuryBalanceOverhaul        |     2 | 12K
300_HarmonyPatches               |     2 | 40K
TFP_CommandExtensions            |     2 | 24K
TFP_MapRendering                 |     2 | 40K
TFP_WebServer                    |     3 | 460K
Xample_MarkersMod                |     2 | 24K
# Total: 13 mods, 64 files
